Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Gender_encoded,Category_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Payment Method_encoded,Frequency of Purchases_encoded
1,55.0,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly,1,1,0,7,3,1,1,1,1,5,3
2,19.0,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,1,1,0,12,3,1,1,1,1,1,3
3,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,1,1,2,12,1,1,2,1,1,2,6
4,21.0,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,1,2,1,12,1,1,3,1,1,4,6
5,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31.0,PayPal,Annually,1,1,1,21,1,1,2,1,1,4,0
6,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly,1,2,1,23,2,1,4,1,1,5,6
7,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,1,1,1,7,0,1,2,1,1,1,5
8,27.0,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,1,1,0,4,3,1,2,1,1,2,6
9,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,1,3,0,19,2,1,1,1,1,5,0
10,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,1,0,1,16,1,1,0,1,1,1,5
11,53.0,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,1,2,0,17,0,1,5,1,1,0,1
12,30.0,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly,1,1,2,13,3,1,5,1,1,0,3
13,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly,1,3,1,6,3,1,1,1,1,5,3
14,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,PayPal,Weekly,1,1,1,22,1,1,1,1,1,4,6
15,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,1,3,0,20,3,1,2,1,1,3,6
16,64.0,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8.0,PayPal,Monthly,1,1,1,20,3,1,5,1,1,4,4
17,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,1,0,2,7,1,1,3,1,1,3,1
18,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,1,1,3,10,3,1,0,1,1,5,5
19,52.0,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly,1,1,2,1,2,1,2,1,1,1,6
20,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,1,1,1,8,2,1,4,1,1,3,1
21,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,1,1,1,1,3,1,1,1,1,1,2
22,31.0,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,1,1,1,4,3,1,5,1,1,3,5
23,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,1,1,1,15,2,1,5,1,1,3,0
24,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,1,1,3,23,3,1,1,1,1,2,6
25,18.0,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,1,3,1,8,0,1,5,1,1,3,6
26,18.0,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,1,1,1,19,2,1,1,1,1,4,0
27,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,1,0,1,18,1,1,3,1,1,2,0
28,56.0,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,1,1,0,5,2,1,3,1,1,0,2
29,54.0,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,1,0,1,7,0,1,2,1,1,4,2
