user_id,recency,frequency,involvement_diversity,monetary,behavior_cluster,behavior_cluster_label
1,79,3.0,0.0,52.91183044336362,0,Low-Value Loyal
10,70,3.0,0.0,30.548028998787014,0,Low-Value Loyal
100,346,0.0,1.0,40.358053074625765,5,Regular
1000,63,0.0,1.0,27.789692910833043,1,Regular
1001,62,0.0,1.0,45.41175365784324,1,Regular
1002,61,3.0,0.0,59.88469891450679,0,Low-Value Loyal
1003,60,0.0,1.0,58.94256686409201,1,Regular
1004,59,0.0,1.0,67.86317248471477,4,VIP Explorer
1005,58,3.0,0.0,78.77000524691059,0,Low-Value Loyal
1006,351,3.0,0.0,94.38347212936974,2,Regular
1007,320,0.0,1.0,83.3000960970872,3,At-Risk High-Value
1008,292,0.0,1.0,62.23250703361261,3,At-Risk High-Value
1009,261,0.0,1.0,84.98072312096411,3,At-Risk High-Value
101,345,3.0,0.0,97.55501624034012,2,Regular
1010,231,0.0,1.0,29.020301913595606,5,Regular
1011,200,0.0,1.0,24.127072212831383,5,Regular
1012,170,3.0,0.0,25.413952148076277,2,Regular
1013,139,0.0,1.0,37.69832348580618,1,Regular
1014,108,0.0,1.0,69.17320309407232,4,VIP Explorer
1015,78,3.0,0.0,96.14971300928123,0,Low-Value Loyal
1016,47,3.0,0.0,24.106372876395184,0,Low-Value Loyal
1017,17,0.0,1.0,30.93535365641337,1,Regular
1018,45,0.0,1.0,52.792972184461235,1,Regular
1019,44,0.0,1.0,70.12478332046628,4,VIP Explorer
102,344,0.0,1.0,84.7731614959431,3,At-Risk High-Value
1020,43,0.0,1.0,75.88326840770068,4,VIP Explorer
1021,42,0.0,1.0,95.35172208007639,4,VIP Explorer
1022,41,3.0,0.0,50.958619840886435,0,Low-Value Loyal
1023,40,0.0,1.0,41.555213232821636,1,Regular
1024,39,0.0,1.0,71.11572133805917,4,VIP Explorer
1025,38,3.0,0.0,66.78944854081882,0,Low-Value Loyal
1026,37,3.0,0.0,83.27475980002538,0,Low-Value Loyal
1027,79,0.0,1.0,95.74281783415357,4,VIP Explorer
1028,48,0.0,1.0,90.77482357821329,4,VIP Explorer
1029,18,0.0,1.0,35.54656560683254,1,Regular
103,343,0.0,1.0,66.94401072577128,3,At-Risk High-Value
1030,76,0.0,1.0,21.293472378511268,1,Regular
1031,75,0.0,1.0,89.41072123190816,4,VIP Explorer
1032,74,3.0,0.0,48.98294608919048,0,Low-Value Loyal
1033,73,0.0,1.0,36.102646426368565,1,Regular
1034,72,0.0,1.0,52.55757746491565,1,Regular
1035,71,3.0,0.0,28.49369788020218,0,Low-Value Loyal
1036,70,3.0,0.0,88.93233762373745,0,Low-Value Loyal
1037,69,0.0,1.0,46.92089090627857,1,Regular
1038,68,0.0,1.0,25.25842852618122,1,Regular
1039,67,0.0,1.0,75.20749595286274,4,VIP Explorer
104,342,3.0,0.0,88.96920921340399,2,Regular
1040,66,0.0,1.0,45.23633604939416,1,Regular
1041,65,0.0,1.0,22.40560078993744,1,Regular
1042,64,3.0,0.0,24.97628853962665,0,Low-Value Loyal
1043,63,0.0,1.0,80.17183665408801,4,VIP Explorer
1044,62,0.0,1.0,75.8820120813371,4,VIP Explorer
1045,61,3.0,0.0,31.03733259928093,0,Low-Value Loyal
1046,60,0.0,1.0,79.51541508866408,4,VIP Explorer
1047,59,0.0,1.0,21.796882563880047,1,Regular
1048,58,3.0,0.0,35.496567542287266,0,Low-Value Loyal
1049,351,0.0,1.0,76.79324721736987,3,At-Risk High-Value
105,341,0.0,1.0,23.40941484607099,5,Regular
1050,320,0.0,1.0,32.81170786108277,5,Regular
1051,292,0.0,1.0,64.07074831811362,3,At-Risk High-Value
1052,261,0.0,1.0,53.58953827545968,5,Regular
1053,231,0.0,1.0,36.47027517119118,5,Regular
1054,200,3.0,0.0,70.45361532039841,2,Regular
1055,170,0.0,1.0,96.0370435391478,4,VIP Explorer
1056,139,0.0,1.0,26.429406148914364,1,Regular
1057,108,3.0,0.0,63.70438469677083,0,Low-Value Loyal
1058,78,3.0,0.0,23.541769874341934,0,Low-Value Loyal
1059,47,0.0,1.0,32.89243959378126,1,Regular
106,340,0.0,1.0,96.24025267489587,3,At-Risk High-Value
1060,17,0.0,1.0,34.26969924952501,1,Regular
1061,45,0.0,1.0,35.269069402015326,1,Regular
1062,44,0.0,1.0,61.31390016577442,4,VIP Explorer
1063,43,3.0,0.0,75.18673626985895,0,Low-Value Loyal
1064,42,0.0,1.0,29.13502003598063,1,Regular
1065,41,0.0,1.0,28.53868969080531,1,Regular
1066,40,0.0,1.0,19.821682221792415,1,Regular
1067,39,0.0,1.0,95.90362460469197,4,VIP Explorer
1068,38,0.0,1.0,43.447597080068114,1,Regular
1069,37,3.0,0.0,93.336154006705,0,Low-Value Loyal
107,339,3.0,0.0,33.578890039642715,2,Regular
1070,36,0.0,1.0,81.36769859058018,4,VIP Explorer
1071,35,0.0,1.0,75.95043268093433,4,VIP Explorer
1072,34,3.0,0.0,80.7973302972148,0,Low-Value Loyal
1073,33,3.0,0.0,90.7262814836605,0,Low-Value Loyal
1074,32,0.0,1.0,95.16472848569106,4,VIP Explorer
1075,31,0.0,1.0,69.98835917264546,4,VIP Explorer
1076,30,0.0,1.0,49.510026420853954,1,Regular
1077,29,0.0,1.0,73.15572868784403,4,VIP Explorer
1078,28,0.0,1.0,28.349242166488196,1,Regular
1079,350,3.0,0.0,59.75990635337792,2,Regular
108,338,0.0,1.0,67.00031374830455,3,At-Risk High-Value
1080,319,0.0,1.0,31.902532266030722,5,Regular
1081,291,0.0,1.0,58.470925461494964,5,Regular
1082,260,3.0,0.0,29.93792316630423,2,Regular
1083,230,3.0,0.0,84.84327794036521,2,Regular
1084,199,0.0,1.0,96.57627332243646,3,At-Risk High-Value
1085,169,0.0,1.0,35.70732939157316,1,Regular
1086,138,0.0,1.0,86.18414744391298,4,VIP Explorer
1087,107,0.0,1.0,61.08752444132023,4,VIP Explorer
1088,77,3.0,0.0,71.567883677269,0,Low-Value Loyal
1089,46,0.0,1.0,21.567547223981325,1,Regular
109,337,0.0,1.0,78.6612437317725,3,At-Risk High-Value
1090,16,0.0,1.0,62.14085042349475,4,VIP Explorer
1091,15,0.0,1.0,56.73213643542226,1,Regular
1092,14,0.0,1.0,79.64536496396981,4,VIP Explorer
1093,13,0.0,1.0,49.73836641600334,1,Regular
1094,12,3.0,0.0,48.47019938956328,0,Low-Value Loyal
1095,11,0.0,1.0,39.74187627231685,1,Regular
1096,10,0.0,1.0,33.56902464773709,1,Regular
1097,9,3.0,0.0,46.7336150214367,0,Low-Value Loyal
1098,8,3.0,0.0,28.892523939724757,0,Low-Value Loyal
1099,7,0.0,1.0,98.22937589357093,4,VIP Explorer
11,69,3.0,0.0,33.165799481190106,0,Low-Value Loyal
110,79,0.0,1.0,84.91772442003384,4,VIP Explorer
1100,6,0.0,1.0,72.70857281701457,4,VIP Explorer
1101,5,0.0,1.0,27.23758936662362,1,Regular
1102,4,0.0,1.0,75.65765408656767,4,VIP Explorer
1103,3,0.0,1.0,82.49298957872213,4,VIP Explorer
1104,2,3.0,0.0,23.00977028135904,0,Low-Value Loyal
1105,1,0.0,1.0,28.088825714003168,1,Regular
1106,0,0.0,1.0,82.38912906259084,4,VIP Explorer
1107,361,3.0,0.0,96.23720072277307,2,Regular
1108,364,3.0,0.0,62.082572472708456,2,Regular
1109,363,3.0,0.0,24.877311625878637,2,Regular
111,48,0.0,1.0,25.87021931404692,1,Regular
1110,362,0.0,1.0,96.16797685218062,3,At-Risk High-Value
1111,361,3.0,0.0,61.6012044145503,2,Regular
1112,360,0.0,1.0,66.42744807358355,3,At-Risk High-Value
1113,329,0.0,1.0,66.77840992193347,3,At-Risk High-Value
1114,301,0.0,1.0,79.71713829475728,3,At-Risk High-Value
1115,270,0.0,1.0,24.85254232257775,5,Regular
1116,240,0.0,1.0,57.60912578796677,5,Regular
1117,209,3.0,0.0,95.17200112687276,2,Regular
